FlowID,Name,CASNumber,FlowTypeID,ReferenceFlowPropertyID
1,"Electricity from lignite",               ,1,24
2,"Avoided Base Oil",               ,1,36
3,"US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse",               ,1,23
4,"Transformation, from dump site, inert material landfill",               ,2,28
5,"UO_Light distillates",               ,1,23
6,"Hazardous waste (deposited)",               ,2,23
7,"phosphorus",007723-14-0    ,2,23
8,"carbon dioxide",000124-38-9    ,2,23
9,"platinum",007440-06-4    ,2,23
10,"potassium",007440-09-7    ,2,23
11,"potassium chloride",007447-40-7    ,2,23
12,"primary energy from geothermics",               ,2,24
13,"primary energy from hydro power",               ,2,24
14,"primary energy from solar energy",               ,2,24
15,"primary energy from wind power",               ,2,24
16,"UO_Transfer to DK",               ,1,23
17,"Acids, unspecified",               ,2,23
18,"UO_Dow Therm A",               ,1,23
19,"urban, discontinuously built",               ,2,29
20,"pentachlorophenol",000087-86-5    ,2,23
21,"waste heat",               ,2,24
22,"waste heat",               ,2,24
23,"waste heat",               ,2,24
24,"waste heat",               ,2,24
25,"xenon-137",014835-21-3    ,2,27
26,"xenon-138",015751-81-2    ,2,27
27,"volatile organic compound",               ,2,23
28,"volatile organic compound",               ,2,23
29,"(2,4-dichlorophenoxy)acetic acid",000094-75-7    ,2,23
30,"acenaphthene",000083-32-9    ,2,23
31,"acenaphthene",000083-32-9    ,2,23
32,"acenaphthylene",000208-96-8    ,2,23
33,"acenaphthylene",000208-96-8    ,2,23
34,"acid (as H+)",012408-02-5    ,2,23
35,"acrolein",000107-02-8    ,2,23
36,"acryolonitrile",000107-13-1    ,2,23
37,"acryolonitrile",000107-13-1    ,2,23
38,"particles (PM10)",               ,2,23
39,"antimony",007440-36-0    ,2,23
40,"antimony",007440-36-0    ,2,23
41,"benzaldehyde",000100-52-7    ,2,23
42,"benzene",000071-43-2    ,2,23
43,"benzene",000071-43-2    ,2,23
44,"benzo[a]pyrene",000050-32-8    ,2,23
45,"benzylchloride",000100-44-7    ,2,23
46,"calcium",007440-70-2    ,2,23
47,"carbofuran",001563-66-2    ,2,23
48,"calcium carbonate",000471-34-1    ,2,23
49,"carbon dioxide",000124-38-9    ,2,23
50,"carbon disulfide",000075-15-0    ,2,23
51,"carbon disulfide",000075-15-0    ,2,23
52,"carbon monoxide",000630-08-0    ,2,23
53,"carbon-14",014762-75-5    ,2,27
54,"carbon-14",014762-75-5    ,2,27
55,"carbonate",003812-32-6    ,2,23
56,"cerium-141",013967-74-3    ,2,27
57,"clay",070694-09-6    ,2,23
58,"cobalt",007440-48-4    ,2,23
59,"cumene",000098-82-8    ,2,23
60,"particles (PM2.5)",               ,2,23
61,"dibenz[a,h]anthracene",000053-70-3    ,2,23
62,"acetic acid",000064-19-7    ,2,23
63,"acetic acid",000064-19-7    ,2,23
64,"2,3,7,8-tetrachlorodibenzo-p-dioxin",001746-01-6    ,2,23
65,"HFC-143",000430-66-0    ,2,23
66,"HFC-152a",000075-37-6    ,2,23
67,"1,2-dibromoethane",000106-93-4    ,2,23
68,"1,2-dibromoethane",000106-93-4    ,2,23
69,"bromide",024959-67-9    ,2,23
70,"HFC-116",000076-16-4    ,2,23
71,"mercaptan",000075-08-1    ,2,23
72,"ethanol",000064-17-5    ,2,23
73,"ethyl amine",000075-04-7    ,2,23
74,"ethylene",000074-85-1    ,2,23
75,"ethylene oxide",000075-21-8    ,2,23
76,"fenpiclonil",074738-17-3    ,2,23
77,"natural aggregate",               ,2,23
78,"fluoride",016984-48-8    ,2,23
79,"fluoride",016984-48-8    ,2,23
80,"fluoride",016984-48-8    ,2,23
81,"fluoride",016984-48-8    ,2,23
82,"fluoride",016984-48-8    ,2,23
83,"fluorine",007782-41-4    ,2,23
84,"fluorine",007782-41-4    ,2,23
85,"fluorine",007782-41-4    ,2,23
86,"sodium",007440-23-5    ,2,23
87,"formaldehyde",000050-00-0    ,2,23
88,"formic acid",000064-18-6    ,2,23
89,"gallium",007440-55-3    ,2,23
90,"granite",               ,2,23
91,"carbon",007782-42-5    ,2,23
92,"helium",007440-59-7    ,2,23
93,"hexamethylene diamine",000124-09-4    ,2,23
94,"hexane",000110-54-3    ,2,23
95,"hydrogen",001333-74-0    ,2,23
96,"hydrogen arsenide",007784-42-1    ,2,23
97,"hydrogen peroxide",007722-84-1    ,2,23
98,"hydrogen sulfide",007783-06-4    ,2,23
99,"hydrogen sulfide",007783-06-4    ,2,23
100,"hydrogen sulfide",007783-06-4    ,2,23
101,"hydrogen-3",010028-17-8    ,2,27
102,"hydrogen-3",010028-17-8    ,2,27
103,"hydrogen-3",010028-17-8    ,2,27
104,"hydroxide",014280-30-9    ,2,23
105,"nitrous oxide",010024-97-2    ,2,23
106,"hypochlorite",014380-61-1    ,2,23
107,"hypochlorite",014380-61-1    ,2,23
108,"indium",007440-74-6    ,2,23
109,"iodide",020461-54-5    ,2,23
110,"iodide",020461-54-5    ,2,23
111,"xenon-131",014683-11-5    ,2,27
112,"xenon-133",014932-42-4    ,2,27
113,"xenon-135",014995-62-1    ,2,27
114,"zinc",007440-66-6    ,2,23
115,"zinc",007440-66-6    ,2,23
116,"zinc",007440-66-6    ,2,23
117,"zinc",007440-66-6    ,2,23
118,"zinc-65",013982-39-3    ,2,27
119,"zirconium",007440-67-7    ,2,23
120,"zirconium-95",013967-71-0    ,2,27
121,"particles (PM2.5 - PM10)",               ,2,23
122,"sodium",007440-23-5    ,2,23
123,"sodium",007440-23-5    ,2,23
124,"chloride",016887-00-6    ,2,23
125,"chloride",016887-00-6    ,2,23
126,"chromium VI",018540-29-9    ,2,23
127,"acetic acid",000064-19-7    ,2,23
128,"acetone",000067-64-1    ,2,23
129,"acetone",000067-64-1    ,2,23
130,"bis(n-octyl) phthalate",000117-84-0    ,2,23
131,"ammonia",007664-41-7    ,2,23
132,"ammonia",007664-41-7    ,2,23
133,"ammonium",014798-03-9    ,2,23
134,"tar",008007-45-2    ,2,23
135,"tin oxide",001332-29-2    ,2,23
136,"iodine-131",010043-66-0    ,2,27
137,"iodine-133",014834-67-4    ,2,27
138,"iodine-133",014834-67-4    ,2,27
139,"iron",007439-89-6    ,2,23
140,"iron",007439-89-6    ,2,23
141,"iron",007439-89-6    ,2,23
142,"iron",007439-89-6    ,2,23
143,"iron",007439-89-6    ,2,23
144,"iron",007439-89-6    ,2,23
145,"iron-59",014596-12-4    ,2,27
146,"isobutanol",000078-83-1    ,2,23
147,"isoprene",000078-79-5    ,2,23
148,"krypton-85",013983-27-2    ,2,27
149,"krypton-87",014809-68-8    ,2,27
150,"lead-210",014255-04-0    ,2,27
151,"mancozeb",008018-01-7    ,2,23
152,"mercury",007439-97-6    ,2,23
153,"metaldehyde",009002-91-9    ,2,23
154,"methane",000074-82-8    ,2,23
155,"CFC-13",000075-72-9    ,2,23
156,"dichloromethane",000075-09-2    ,2,23
157,"dichloromethane",000075-09-2    ,2,23
158,"bentonite",001302-78-9    ,2,23
159,"chloroform",000067-66-3    ,2,23
160,"HCFC-21",000075-43-4    ,2,23
161,"cadmium",007440-43-9    ,2,23
162,"cadmium",007440-43-9    ,2,23
163,"R-40",000074-87-3    ,2,23
164,"R-40",000074-87-3    ,2,23
165,"FC-14",000075-73-0    ,2,23
166,"anthracene",000120-12-7    ,2,23
167,"antimony",007440-36-0    ,2,23
168,"antimony",007440-36-0    ,2,23
169,"antimony",007440-36-0    ,2,23
170,"antimony",007440-36-0    ,2,23
171,"methyl acetate",000079-20-9    ,2,23
172,"cobalt-58",013981-38-9    ,2,27
173,"cobalt-60",010198-40-0    ,2,27
174,"ammonia",007664-41-7    ,2,23
175,"m-xylene",000108-38-3    ,2,23
176,"nickel",007440-02-0    ,2,23
177,"nickel",007440-02-0    ,2,23
178,"nickel",007440-02-0    ,2,23
179,"niobium-95",013967-76-5    ,2,27
180,"nitrate",014797-55-8    ,2,23
181,"nitrite",014797-65-0    ,2,23
182,"nitrite",014797-65-0    ,2,23
183,"nitrite",014797-65-0    ,2,23
184,"dinitrogen",007727-37-9    ,2,23
185,"nitrogen dioxide",010102-44-0    ,2,23
186,"nitrogen monoxide",010102-43-9    ,2,23
187,"o-cresol",000095-48-7    ,2,23
188,"octane",000111-65-9    ,2,23
189,"orbencarb",034622-58-7    ,2,23
190,"oxygen",007782-44-7    ,2,23
191,"o-xylene",000095-47-6    ,2,23
192,"ozone",010028-15-6    ,2,23
193,"phenol",000108-95-2    ,2,23
194,"phenol",000108-95-2    ,2,23
195,"2,4-dichlorophenol",000120-83-2    ,2,23
196,"phosphate",014265-44-2    ,2,23
197,"phosphate",014265-44-2    ,2,23
198,"phosphate",014265-44-2    ,2,23
199,"phosphate",014265-44-2    ,2,23
200,"phosphine",007803-51-2    ,2,23
201,"polonium-210",013981-52-7    ,2,27
202,"polonium-210",013981-52-7    ,2,27
203,"potassium",007440-09-7    ,2,23
204,"potassium",007440-09-7    ,2,23
205,"potassium",007440-09-7    ,2,23
206,"potassium-40",013966-00-2    ,2,27
207,"potassium-40",013966-00-2    ,2,27
208,"potassium-40",013966-00-2    ,2,27
209,"ammonium",014798-03-9    ,2,23
210,"antimonite",               ,2,23
211,"arsenic trioxide",001327-53-3    ,2,23
212,"barium sulfate",007727-43-7    ,2,23
213,"bauxite",001318-16-7    ,2,23
214,"biological oxygen demand",               ,2,23
215,"biological oxygen demand",               ,2,23
216,"polychlorinated biphenyls",001336-36-3    ,2,23
217,"borax",012447-40-4    ,2,23
218,"calcium chloride",010043-52-4    ,2,23
219,"chemical oxygen demand",               ,2,23
220,"chemical oxygen demand",               ,2,23
221,"cinnabar",019122-79-3    ,2,23
222,"colemanite",001318-33-8    ,2,23
223,"diatomite",068855-54-9    ,2,23
224,"fluorspar",014542-23-5    ,2,23
225,"gypsum",007778-18-9    ,2,23
226,"baryte",007727-43-7    ,2,23
227,"hydrogen chloride",007647-01-0    ,2,23
228,"hydrogen fluoride",007664-39-3    ,2,23
229,"decane",000124-18-5    ,2,23
230,"decane",000124-18-5    ,2,23
231,"decane",000124-18-5    ,2,23
232,"polycyclic aromatic hydrocarbons",               ,2,23
233,"polycyclic aromatic hydrocarbons",               ,2,23
234,"polycyclic aromatic hydrocarbons",               ,2,23
235,"propylene oxide",000075-56-9    ,2,23
236,"propylene oxide",000075-56-9    ,2,23
237,"protactinium-234",015100-28-4    ,2,27
238,"CFC-114",000076-14-2    ,2,23
239,"radium-224",013233-32-4    ,2,27
240,"radium-226",013982-63-3    ,2,27
241,"radium-226",013982-63-3    ,2,27
242,"radium-228",015262-20-1    ,2,27
243,"radium-228",015262-20-1    ,2,27
244,"scandium",007440-20-2    ,2,23
245,"scandium",007440-20-2    ,2,23
246,"selenium",007782-49-2    ,2,23
247,"selenium",007782-49-2    ,2,23
248,"selenium",007782-49-2    ,2,23
249,"selenium",007782-49-2    ,2,23
250,"silver-110",014391-76-5    ,2,27
251,"styrene",000100-42-5    ,2,23
252,"sulfur",007704-34-9    ,2,23
253,"sulfur",007704-34-9    ,2,23
254,"tert-butyl methyl ether",001634-04-4    ,2,23
255,"tert-butyl methyl ether",001634-04-4    ,2,23
256,"tert-butyl methyl ether",001634-04-4    ,2,23
257,"tebutam",035256-85-0    ,2,23
258,"technetium-99",014133-76-7    ,2,27
259,"teflubenzuron",083121-18-0    ,2,23
260,"thallium",007440-28-0    ,2,23
261,"thallium",007440-28-0    ,2,23
262,"thallium",007440-28-0    ,2,23
263,"thorium-228",014274-82-9    ,2,27
264,"thorium-228",014274-82-9    ,2,27
265,"thorium-230",014269-63-7    ,2,27
266,"thorium-230",014269-63-7    ,2,27
267,"thorium-232",007440-29-1    ,2,27
268,"thorium-232",007440-29-1    ,2,27
269,"toluene",000108-88-3    ,2,23
270,"tin",007440-31-5    ,2,23
271,"tin",007440-31-5    ,2,23
272,"titanium",007440-32-6    ,2,23
273,"titanium",007440-32-6    ,2,23
274,"titanium",007440-32-6    ,2,23
275,"titanium",007440-32-6    ,2,23
276,"toluene",000108-88-3    ,2,23
277,"2,4-dinitrotoluene",000121-14-2    ,2,23
278,"thorium-234",015065-10-8    ,2,27
279,"thorium-234",015065-10-8    ,2,27
280,"tin",007440-31-5    ,2,23
281,"tin",007440-31-5    ,2,23
282,"chromium",007440-47-3    ,2,23
283,"chromium",007440-47-3    ,2,23
284,"triethylene glycol",000112-27-6    ,2,23
285,"triethylene glycol",000112-27-6    ,2,23
286,"trimethylamine",000075-50-3    ,2,23
287,"manganese",007439-96-5    ,2,23
288,"manganese",007439-96-5    ,2,23
289,"manganese",007439-96-5    ,2,23
290,"manganese",007439-96-5    ,2,23
291,"manganese",007439-96-5    ,2,23
292,"carbon dioxide (biogenic)",000124-38-9    ,2,23
293,"uranium-235",015117-96-1    ,2,27
294,"uranium-235",015117-96-1    ,2,27
295,"uranium-238",007440-61-1    ,2,27
296,"beta-butyrolactone",003068-88-0    ,2,23
297,"beta-butyrolactone",003068-88-0    ,2,23
298,"2-chloro-1-phenylethanone",000532-27-4    ,2,23
299,"krypton-88",014995-61-0    ,2,27
300,"krypton-89",016316-03-3    ,2,27
301,"carbon-14",014762-75-5    ,2,27
302,"carbonate",003812-32-6    ,2,23
303,"dimethylamine",000124-40-3    ,2,23
304,"chromium",007440-47-3    ,2,23
305,"chromium",007440-47-3    ,2,23
306,"chromium",007440-47-3    ,2,23
307,"chromium",007440-47-3    ,2,23
308,"chromium III",016065-83-1    ,2,23
309,"chromium III",016065-83-1    ,2,23
310,"pentane",000109-66-0    ,2,23
311,"palladium",007440-05-3    ,2,23
312,"boron",007440-42-8    ,2,23
313,"boron",007440-42-8    ,2,23
314,"boron",007440-42-8    ,2,23
315,"boron",007440-42-8    ,2,23
316,"bromate",015541-45-4    ,2,23
317,"methyl ethyl ketone",000078-93-3    ,2,23
318,"cobalt",007440-48-4    ,2,23
319,"cumene",000098-82-8    ,2,23
320,"ammonia",007664-41-7    ,2,23
321,"ethyl benzene",000100-41-4    ,2,23
322,"hexachlorobenzene",000118-74-1    ,2,23
323,"hexachlorobenzene",000118-74-1    ,2,23
324,"non-methane volatile organic compounds",               ,2,23
325,"calcium",007440-70-2    ,2,23
326,"pentan-1-ol",000071-41-0    ,2,23
327,"chlorosulphuric acid",007790-94-5    ,2,23
328,"Docosane",000629-97-0    ,2,23
329,"Ethylene Glycol displaced",               ,1,41
330,"Water (sea water from technosphere, waste water)",               ,2,23
331,"Water,turbine use, unspecified natural origin",007732-18-5    ,2,30
332,"Transformation, from tropical rain forest",               ,2,28
333,"RER: natural gas, high pressure, at consumer",               ,1,24
334,"to traffic area, rail/road embankment",               ,2,28
335,"2-methyl-2-butene",000513-35-9    ,2,23
336,"hexadecane",000544-76-3    ,2,23
337,"quartz sand",014808-60-7    ,2,23
338,"raw pumice",               ,2,23
339,"Wood, soft, standing",               ,2,30
340,"Avoided No 6 Residual Oil",               ,1,36
341,"Radioactive isotopes (unspecific)",               ,2,27
342,"Land Transformation",               ,2,28
343,"Transformation, to industrial area, vegetation",               ,2,28
344,"Copper (+II)",015158-11-9    ,2,23
345,"Used Oil to Informal Management",               ,1,12
346,"Lost or Unknown",               ,1,12
347,"pentan-1-ol",000071-41-0    ,2,23
348,"Occup. as Forest land",               ,2,29
349,"Used Oil to Gray Market ",               ,1,23
350,"formamide",000075-12-7    ,2,23
351,"Waste to Disposal",               ,1,12
352,"arsenic V",061805-96-7    ,2,23
353,"MRO: electricity, natural gas, at power plant",               ,1,24
354,"Copper (+II)",015158-11-9    ,2,23
355,"UO_223 Collected",               ,1,23
356,"Nickel ion (+III)",022541-64-6    ,2,23
357,"rhenium",007440-15-5    ,2,23
358,"rhodium",007440-16-6    ,2,23
359,"2-hexanone",000591-78-6    ,2,23
360,"river water",007732-18-5    ,2,23
361,"ruthenium",007440-18-8    ,2,23
362,"sand",               ,2,23
363,"sea water",007732-18-5    ,2,23
364,"silicon",007440-21-3    ,2,23
365,"silver",007440-22-4    ,2,23
366,"slate",               ,2,23
367,"sodium chloride",007647-14-5    ,2,23
368,"sodium nitrate",007631-99-4    ,2,23
369,"sodium sulfate",007757-82-6    ,2,23
370,"soil",               ,2,23
371,"No. 2 Distillate",               ,1,23
372,"Energy, potential (in hydropower reservoir), converted",               ,2,24
373,"UO Local Collection",               ,1,23
374,"RFO to Combustion",               ,1,12
375,"formamide",000075-12-7    ,2,23
376,"Suspended solids, unspecified",               ,2,23
377,"Erosion Resistance",               ,2,4
378,"to shrub land",               ,2,28
379,"Benzal chloride",000098-87-3    ,2,23
380,"Avoided Electricity",               ,1,18
381,"Electricity WECC",               ,1,24
382,"US: Transport, ocean freighter, average fuel mix",               ,1,15
383,"US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment",               ,1,23
384,"traffic area, rail/road embankment",               ,2,29
385,"stone",               ,2,23
386,"sulfur",007704-34-9    ,2,23
387,"talc",014807-96-6    ,2,23
388,"tantalum",007440-25-7    ,2,23
389,"tellurium",013494-80-9    ,2,23
390,"Asphalt Product",               ,1,12
391,"Lead-210/kg",014255-04-0    ,2,23
392,"CH: disposal, hazardous waste, 25% water, to hazardous waste incineration",               ,1,23
393,"Lead (+II)",014280-50-3    ,2,23
394,"UO_Transfer to MDO",               ,1,23
395,"Water (river water from technosphere, waste water)",               ,2,23
396,"nitrogen trifluoride",007783-54-2    ,2,23
397,"Waste (deposited)",               ,2,23
398,"arsenic V",061805-96-7    ,2,23
399,"from forest",               ,2,28
400,"High radioactive waste",               ,2,23
401,"UO_Marine Diesel Oil",               ,1,23
402,"Occupation, industrial area, benthos",               ,2,29
403,"Hydrochloric acid",007664-39-3    ,2,23
404,"magnesium",007439-95-4    ,2,23
405,"magnesium",007439-95-4    ,2,23
406,"sodium",007440-23-5    ,2,23
407,"tungsten",007440-33-7    ,2,23
408,"sulfur",007704-34-9    ,2,23
409,"oxygen",007782-44-7    ,2,23
410,"tar",008007-45-2    ,2,23
411,"acid (as H+)",012408-02-5    ,2,23
412,"acid (as H+)",012408-02-5    ,2,23
413,"acid (as H+)",012408-02-5    ,2,23
414,"tin",007440-31-5    ,2,23
415,"titanium",007440-32-6    ,2,23
416,"Water (rain water)",               ,2,23
417,"US: Dummy_Transport, pipeline, unspecified",               ,1,15
418,"Avoided Natural Gas",               ,1,36
419,"from industrial area",               ,2,28
420,"Avoided Gasoline",               ,1,36
421,"Secondary fuel",               ,1,24
422,"Volume occupied, final repository for radioactive waste",               ,2,30
423,"UO_re-refined base oil",               ,1,23
424,"construction site",               ,2,29
425,"to industrial area",               ,2,28
426,"Pit Methane (in MJ)",000074-82-8    ,2,24
427,"UO_Hydrotx Catalyst",               ,1,23
428,"Transformation, to forest, intensive, clear-cutting",               ,2,28
429,"lanthanum-140",013981-28-7    ,2,27
430,"antimony-125",014234-35-6    ,2,27
431,"antimony-125",014234-35-6    ,2,27
432,"phosphate",014265-44-2    ,2,23
433,"phosphate",014265-44-2    ,2,23
434,"nitrate",014797-55-8    ,2,23
435,"US: Liquefied petroleum gas, combusted in industrial boiler",               ,1,30
436,"acetyl chloride",000075-36-5    ,2,23
437,"Bitumen Displaced",               ,1,41
438,"arsenic V",061805-96-7    ,2,23
439,"Tantalum",007440-25-7    ,2,23
440,"Groundwater Replenishment",               ,2,11
441,"Ammonium chloride",012125-02-9    ,2,23
442,"to forest",               ,2,28
443,"US: electricity, production mix US",               ,1,24
444,"UO_EG LERT Bottoms",               ,1,23
445,"CH: process-specific burdens, hazardous waste incineration plant",               ,1,23
446,"Used Oil, for collection",               ,1,23
447,"CH: residual material landfill facility",               ,1,1
448,"bromide",024959-67-9    ,2,23
449,"uranium",007440-61-1    ,2,24
450,"vanadium",007440-62-2    ,2,23
451,"water",007732-18-5    ,2,23
452,"wood;  14.7 MJ/kg",               ,2,24
